Epoch,Ep_Reward
0.0,-463.56216756335476
1.0,-1344.9053262960012
2.0,-1146.0964628042586
3.0,-209.90053140099423
4.0,-2586.4689301267435
5.0,-3193.8194257089585
6.0,-7036.192283134006
7.0,-125.89992311657666
8.0,-1131.565923526502
9.0,-1888.5179631856226
10.0,-495.0002396129508
11.0,-366.18287783931095
12.0,-760.6602257963984
13.0,-352.3446826842552
14.0,-197.73665284118698
15.0,-622.4714463288649
16.0,-1026.78231642473
17.0,-271.214925171088
18.0,-180.55029170563992
19.0,-575.3305436316697
20.0,-192.00003416799785
21.0,-164.48060727420426
22.0,-116.9781924379835
23.0,-415.8474064916203
24.0,-62.70353669870145
25.0,-551.9041336047582
26.0,-321.900395165686
27.0,-191.956347015186
28.0,-89.23274895163674
29.0,-104.12263320790048
30.0,-213.4894993412716
31.0,-61.417275051303314
32.0,-105.39240697737239
33.0,-88.0435144525322
34.0,-66.92094659642106
35.0,-353.0116211988918
36.0,-132.56584583252044
37.0,-92.39920413977855
38.0,-161.59172081497493
39.0,-64.87869966417028
40.0,-23.8642910185268
41.0,-37.16103763963037
42.0,-128.681123031349
43.0,-84.76106883206121
44.0,-57.403253760004695
45.0,-106.85742448796668
46.0,-90.74973460709685
47.0,-64.9176398045221
48.0,-211.73547468476207
49.0,-67.03073293588373
50.0,-76.28780858548785
51.0,-40.459570565527386
52.0,-87.95361027002055
53.0,-70.40177014980856
54.0,-104.27154368832785
55.0,-42.39694238681646
56.0,-61.08509562173351
57.0,-130.247489838615
58.0,-80.69908974555383
59.0,-81.59425593185857
60.0,-304.4875677879944
61.0,-29.968281414478707
62.0,-97.49955525442651
63.0,-57.93790395094616
64.0,-88.92820679111713
65.0,-23.100311549934908
66.0,-31.92383813259566
67.0,-42.07827864528174
68.0,-37.63040934462673
69.0,-51.70969899473291
70.0,-89.90979828764502
71.0,-178.29154362902995
72.0,-75.66044593649765
73.0,-108.09458023743166
74.0,-34.871624150997604
75.0,-164.1115545939326
76.0,-56.9492179727006
77.0,-21.52277559465769
78.0,-61.01191262043624
79.0,-36.21827125787959
80.0,-84.90385710789066
81.0,-16.676641761311693
82.0,-29.458791042947656
83.0,-24.708704065668954
84.0,-70.37162064821308
85.0,-64.58089740219212
86.0,-32.2412991869016
87.0,-16.493683433783957
88.0,-158.02095865790372
89.0,-150.25859990563978
90.0,-32.01319394540671
91.0,-91.51543074183523
92.0,-13.144471592363535
93.0,-20.882784779231066
94.0,-34.23280948053961
95.0,-71.89499802101972
96.0,-41.09861347204084
97.0,-58.892652233370434
98.0,-22.505540668572962
99.0,-45.52082742012152
100.0,-22.862559325003858
101.0,-48.13495899647249
102.0,-50.70362811700261
103.0,-24.40034814123373
104.0,-37.59229590174737
105.0,-50.97989730978799
106.0,-81.33499131166425
107.0,-77.20118994400818
108.0,-13.744869272306534
109.0,-36.85026744560181
110.0,-42.90748568278457
111.0,-76.52818850765934
112.0,-30.722730132501955
113.0,-31.942585513347318
114.0,-16.58864939023723
115.0,-80.86589772034891
116.0,-50.08849690126896
117.0,-26.55931830415327
118.0,-23.025136741528126
119.0,-21.764512512020655
120.0,-10.877413003846454
121.0,-20.4474258422896
122.0,-19.008863483215094
123.0,-48.54942955730284
124.0,-21.368024109493305
125.0,-18.683602623976107
126.0,-21.096558122063207
127.0,-15.14868832270273
128.0,-78.76257067566362
129.0,-40.398447635057266
130.0,-34.16477354001555
131.0,-54.71812435486845
132.0,-13.356117958684973
133.0,-29.69047739851526
134.0,-19.723040222792378
135.0,-11.2502605395847
136.0,-49.27993340589465
137.0,-53.69451220429115
138.0,-18.22603073507542
139.0,-15.94989505954126
140.0,-11.109148276582298
141.0,-21.285159892435935
142.0,-93.67420133118559
143.0,-26.386780504471655
144.0,-24.9482659343925
145.0,-22.210507696414307
146.0,-11.457263146957537
147.0,-33.82898801097108
148.0,-13.760015018110467
149.0,-47.565029015004626
150.0,-25.007480605352047
151.0,-10.209976512988902
152.0,-8.43140422037068
153.0,-11.911640769776197
154.0,-35.982322809189114
155.0,-22.469917180477143
156.0,-31.855106522957012
157.0,-13.665015606552569
158.0,-24.789669606555574
159.0,-32.45449661789709
160.0,-21.7111434421057
161.0,-21.577409280417594
162.0,-22.593357564377975
163.0,-25.91326541257187
164.0,-22.83875447913253
165.0,-14.417598737711536
166.0,-52.54551885073795
167.0,-17.10515459591887
168.0,-15.64671341814969
169.0,-26.799136619181
170.0,-17.274698821681028
171.0,-18.617690618214986
172.0,-39.511060129505914
173.0,-16.316051875592322
174.0,-29.734273903297723
175.0,-24.441807246307228
176.0,-17.791461601339908
177.0,-14.42496012253539
178.0,-28.316302769586144
179.0,-10.172300725675605
180.0,-10.491892064958147
181.0,-25.096542730514727
182.0,-22.353525781527026
183.0,-33.945942561729304
184.0,-25.295627423436525
185.0,-47.02551667146798
186.0,-34.54341440899357
187.0,-8.776448088786406
188.0,-37.58725941109041
189.0,-11.144082835174578
190.0,-22.062664641328855
191.0,-34.18715455077008
192.0,-15.5684630736319
193.0,-20.359660777474268
194.0,-14.64781287773314
195.0,-10.166038125859396
196.0,-10.086352088984798
197.0,-36.42326646977748
198.0,-18.483079148741556
199.0,-14.50359693070734
200.0,-9.899421191679558
201.0,-32.38905859535193
202.0,-16.830030151262083
203.0,-18.680554138148157
204.0,-24.29369479254813
205.0,-23.8998209199457
206.0,-25.01603117499399
207.0,-30.969329551785613
208.0,-22.058623207324754
209.0,-11.909096485583092
210.0,-8.398556929921615
211.0,-19.42926053345042
212.0,-6.654325178048669
213.0,-10.29605292681864
214.0,-64.71911559544654
215.0,-6.6184494231951945
216.0,-15.120542131182876
217.0,-4.170333148957968
218.0,-20.47218915297336
219.0,-8.754149156104797
220.0,-25.053313304876806
221.0,-5.318764163483477
222.0,-4.14054831358127
223.0,-14.988931996024434
224.0,-19.911329461428462
225.0,-8.284013989437987
226.0,-14.504902309881798
227.0,-11.860588987151809
228.0,-14.627454940472278
229.0,-32.10214777914665
230.0,-4.218583418702294
231.0,-6.422934716147642
232.0,-4.3568351025754914
233.0,-39.54241132554366
234.0,-8.17936903105068
235.0,-17.521496553819798
236.0,-40.82695640104962
237.0,-9.927816503938448
238.0,-5.744990060403886
239.0,-4.331715030754103
240.0,-12.35365550071409
241.0,-6.66408861944011
242.0,-4.817293315947971
243.0,-21.112589436711247
244.0,-16.799539728426822
245.0,-20.130350537823283
246.0,-4.139395669813651
247.0,-12.21564533568449
248.0,-2.31426119775619
249.0,-3.9337378036341977
250.0,-9.992891164218026
251.0,-42.566338379754534
252.0,-4.908564896121238
253.0,-6.4459100998504155
254.0,-10.412118803431039
255.0,-3.518480287481613
256.0,-4.212941210384603
257.0,-8.407779942010041
258.0,-7.938222200630217
259.0,-23.466678307982473
260.0,-13.015058354975336
261.0,-11.98651916998457
262.0,-10.525733657536309
263.0,-5.118862376835904
264.0,-21.034733271666312
265.0,-5.0304528953049665
266.0,-2.7525217236806654
267.0,-16.689054524256733
268.0,-10.156945820554876
269.0,-7.01288564730892
270.0,-4.303503135044595
271.0,-7.158176286356093
272.0,-2.1871267480961065
273.0,-14.591299355942226
274.0,-39.730721003094814
275.0,-7.4599723840940815
276.0,-9.641216184058452
277.0,-2.2443510628116807
278.0,-18.68919006258814
279.0,-30.119117897709522
280.0,-6.640312297766051
281.0,-32.691128985859635
282.0,-4.682321116050495
283.0,-2.4033842066675546
284.0,-11.275764111890737
285.0,-21.27936181186765
286.0,-7.130762333169072
287.0,-27.410087971464304
288.0,-3.741528859399666
289.0,-9.77402857689763
290.0,-8.413149949595777
291.0,-25.288900075161685
292.0,-4.805033335335205
293.0,-5.261853935636605
294.0,-7.550789615691984
295.0,-14.171436155728877
296.0,-3.156892403315966
297.0,-4.029005532764304
298.0,-4.307330745427687
299.0,-3.295994269306936
300.0,-4.483090363137324
301.0,-11.536159922328965
302.0,-2.068408367478877
303.0,-16.005393718330847
304.0,-15.170649953436026
305.0,-3.003066098834821
306.0,-1.3708271251092576
307.0,-18.036321371374108
308.0,-8.631512743777511
309.0,-2.2362753913413784
310.0,-15.324295489011112
311.0,-10.168527021684113
312.0,-12.065442306629384
313.0,-7.22566299838521
314.0,-1.2385636244634923
315.0,-1.4213207331413193
316.0,-7.940788267523271
317.0,-35.189392686541105
318.0,-2.0697748078025513
319.0,-3.0701749516926253
320.0,-12.667098824695406
321.0,-6.285019553230026
322.0,-18.008844148284663
323.0,-22.112338503416314
324.0,-3.4985973527134315
325.0,-1.9308543866622885
326.0,-8.407580336778134
327.0,-1.5106206211307938
328.0,-4.281145861911064
329.0,-17.573754593592188
330.0,-1.4347365024725178
331.0,-2.2505435919558296
332.0,-2.350542363926279
333.0,-16.359275085500727
334.0,-13.339540951744027
335.0,-6.565061905440779
336.0,-38.33718807772565
337.0,-6.928953413156268
338.0,-11.01056215755286
339.0,-6.611711033569258
340.0,-12.785518769238228
341.0,-1.5293265445217221
342.0,-10.093151921276812
343.0,-22.585988988078505
344.0,-2.8584656754221127
345.0,-44.44503564890751
346.0,-0.9349819528894385
347.0,-5.408475627957066
348.0,-2.029210848768625
349.0,-2.6879637499822784
350.0,-10.423249972324301
